uid;nom;prenom;groupe_sigle;scrutins_votes;scrutins_present;total_scrutins_legislature;taux_participation_pct;taux_presence_pct;en_cours
PA795900;Hamelet;Marine;RN;4804;4804;6022;79.77;79.77;True
PA841563;Marais-Beuil;Claire;RN;4799;4799;6022;79.69;79.69;True
PA794954;Salmon;Emeric;RN;4669;4669;6022;77.53;77.53;True
PA841107;Oberti;Jacques;SOC;4590;4590;6022;76.22;76.22;True
PA794434;Bentz;Christophe;RN;4006;4006;6022;66.52;66.52;True
PA794802;Sitzenstuhl;Charles;EPR;3984;3984;6022;66.16;66.16;True
PA793656;Pollet;Lisette;RN;3935;3935;6022;65.34;65.34;True
PA842085;Humbert;Sébastien;RN;3870;3870;6022;64.26;64.26;True
PA793928;Diaz;Edwige;RN;3866;3866;6022;64.2;64.2;True
PA841587;Magnier;David;RN;3782;3782;6022;62.8;62.8;True
PA841613;de Fleurian;Marc;RN;3740;3740;6022;62.11;62.11;True
PA793672;Loir;Christine;RN;3719;3719;6022;61.76;61.76;True
PA840773;Fayssat;Olivier;UDR;3692;3692;6022;61.31;61.31;True
PA794786;Fernandes;Emmanuel;LFI-NFP;3592;3592;6022;59.65;59.65;True
PA794894;Sabatini;Anaïs;RN;3587;3587;6022;59.56;59.56;True
PA794330;Brosse;Anthony;EPR;3472;3472;6022;57.66;57.66;True
PA793146;Dragon;Nicolas;RN;3402;3402;6022;56.49;56.49;True
PA842013;Gustave;Steevy;EcoS;3382;3382;6022;56.16;56.16;True
PA795516;Laisney;Maxime;LFI-NFP;3372;3372;6022;55.99;55.99;True
PA793744;Stambach-Terrenoir;Anne;LFI-NFP;3366;3366;6022;55.9;55.9;True
PA794138;Amiot;Ségolène;LFI-NFP;3346;3346;6022;55.56;55.56;True
PA794778;Regol;Sandra;EcoS;3344;3344;6022;55.53;55.53;True
PA841955;Renault;Matthias;RN;3300;3300;6022;54.8;54.8;True
PA793102;Girard;Christian;RN;3274;3274;6022;54.37;54.37;True
PA841825;Martin;Patrice;RN;3273;3273;6022;54.35;54.35;True
PA794082;Hignet;Mathilde;LFI-NFP;3233;3233;6022;53.69;53.69;True
PA793532;Lepvraud;Murielle;LFI-NFP;3183;3183;6022;52.86;52.86;True
PA842125;Lam;Thomas;HOR;3159;3159;6022;52.46;52.46;True
PA795136;Coulomme;Jean-François;LFI-NFP;3144;3144;6022;52.21;52.21;True
PA841749;Joncour;Tiffany;RN;3127;3127;6022;51.93;51.93;True
PA793772;Bex;Christophe;LFI-NFP;3122;3122;6022;51.84;51.84;True
PA791824;Legrain;Sarah;LFI-NFP;3100;3100;6022;51.48;51.48;True
PA722366;Fugit;Jean-Luc;EPR;3094;3094;6022;51.38;51.38;True
PA840837;Markowsky;Pascal;RN;3094;3094;6022;51.38;51.38;True
PA805166;Bergantz;Anne;Dem;3085;3085;6022;51.23;51.23;True
PA794762;Dogor-Such;Sandrine;RN;3080;3080;6022;51.15;51.15;True
PA841381;Pantel;Sophie;SOC;3066;3066;6022;50.91;50.91;True
PA842029;Lejeune;Claire;LFI-NFP;3057;3057;6022;50.76;50.76;True
PA794946;Villedieu;Antoine;RN;3057;3057;6022;50.76;50.76;True
PA795410;Roullaud;Béatrice;RN;3036;3036;6022;50.42;50.42;True
PA840673;Rossi;Valérie;SOC;3026;3026;6022;50.25;50.25;True
PA841131;Bouquin;Manon;RN;3007;3007;6022;49.93;49.93;True
PA841873;Limongi;Julien;RN;3004;3004;6022;49.88;49.88;True
PA793832;Gillet;Yoann;RN;2998;2998;6022;49.78;49.78;True
PA840955;Pribetich;Pierre;SOC;2990;2990;6022;49.65;49.65;True
PA793912;Carrière;Sylvain;LFI-NFP;2982;2982;6022;49.52;49.52;True
PA793708;Peytavie;Sébastien;EcoS;2960;2960;6022;49.15;49.15;True
PA793394;Delaporte;Arthur;SOC;2952;2952;6022;49.02;49.02;True
PA841645;Bernhardt;Théo;RN;2951;2951;6022;49.0;49.0;True
PA774958;Leseul;Gérard;SOC;2929;2929;6022;48.64;48.64;True
PA794094;Bouloux;Mickaël;SOC;2928;2928;6022;48.62;48.62;True
PA795974;Lottiaux;Philippe;RN;2906;2906;6022;48.26;48.26;True
PA794678;Frappé;Thierry;RN;2894;2894;6022;48.06;48.06;True
PA793166;Dessigny;Jocelyn;RN;2893;2893;6022;48.04;48.04;True
PA841981;Rimbert;Catherine;RN;2891;2891;6022;48.01;48.01;True
PA793254;Rancoule;Julien;RN;2886;2886;6022;47.92;47.92;True
PA794418;Goulet;Florence;RN;2882;2882;6022;47.86;47.86;True
PA795100;Martineau;Éric;Dem;2882;2882;6022;47.86;47.86;True
PA795644;Da Conceicao Carvalho;Nathalie;RN;2878;2878;6022;47.79;47.79;True
PA795108;Leboucher;Élise;LFI-NFP;2878;2878;6022;47.79;47.79;True
PA842073;Dussausaye;Gaëtan;RN;2875;2875;6022;47.74;47.74;True
PA841451;Guibert;Julien;RN;2849;2849;6022;47.31;47.31;True
PA793270;Rousset;Jean-François;EPR;2841;2841;6022;47.18;47.18;True
