uid;nom;prenom;groupe_sigle;total_votes_exprimes;votes_loyaux;votes_rebelles;score_loyaute_pct;en_cours
PA721612;Guillerm;Carole;Dem;1;1;0;100.0;True
PA841167;Prevost;Hugo;LFI-NFP;1;1;0;100.0;False
PA842323;Provendier;Remi;EPR;89;89;0;100.0;False
PA842137;Séjourné;Stéphane;EPR;2;2;0;100.0;False
PA793444;Bompard;Manuel;LFI-NFP;2014;1999;15;99.26;True
PA793464;Delogu;Sébastien;LFI-NFP;905;898;7;99.23;True
PA793736;Clouet;Hadrien;LFI-NFP;1939;1921;18;99.07;True
PA793744;Stambach-Terrenoir;Anne;LFI-NFP;3366;3333;33;99.02;True
PA795746;Léaument;Antoine;LFI-NFP;2041;2019;22;98.92;True
PA720892;Panot;Mathilde;LFI-NFP;2193;2168;25;98.86;True
PA794686;Maximi;Marianne;LFI-NFP;1559;1541;18;98.85;True
PA842105;Arnault;Raphaël;LFI-NFP;1959;1936;23;98.83;True
PA795422;Maudet;Damien;LFI-NFP;1425;1408;17;98.81;True
PA795596;Vannier;Paul;LFI-NFP;1408;1391;17;98.79;True
PA842187;Cathala;Gabrielle;LFI-NFP;2812;2776;36;98.72;True
PA720614;Le Pen;Marine;RN;783;773;10;98.72;True
PA795298;Legavre;Jérôme;LFI-NFP;1877;1853;24;98.72;True
PA795982;Saintoul;Aurélien;LFI-NFP;2574;2541;33;98.72;True
PA720430;Bernalicis;Ugo;LFI-NFP;1223;1207;16;98.69;True
PA794770;Martinez;Michèle;RN;1451;1432;19;98.69;True
PA794870;Ferrer;Sylvie;LFI-NFP;2199;2170;29;98.68;True
PA342384;Martin;Élisa;LFI-NFP;2118;2090;28;98.68;True
PA795318;Boyard;Louis;LFI-NFP;1654;1632;22;98.67;True
PA720846;Lachaud;Bastien;LFI-NFP;1883;1858;25;98.67;True
PA842155;Diouara;Aly;LFI-NFP;1261;1244;17;98.65;True
PA841515;Le Coq;Aurélien;LFI-NFP;1989;1962;27;98.64;True
PA878242;Valentin;Antoine;UDR;73;72;1;98.63;True
PA796090;Caron;Aymeric;LFI-NFP;1434;1414;20;98.61;True
PA841657;Belouassa-Cherifi;Anaïs;LFI-NFP;1488;1467;21;98.59;True
PA795482;Meunier;Manon;LFI-NFP;2126;2095;31;98.54;True
PA795466;Soudais;Ersilia;LFI-NFP;1924;1896;28;98.54;True
PA793262;Alexandre;Laurent;LFI-NFP;2798;2757;41;98.53;True
PA794478;Guiraud;David;LFI-NFP;1017;1002;15;98.53;True
PA793532;Lepvraud;Murielle;LFI-NFP;3183;3136;47;98.52;True
PA795084;Arenas;Rodrigo;LFI-NFP;863;850;13;98.49;True
PA795516;Laisney;Maxime;LFI-NFP;3372;3321;51;98.49;True
PA796062;Portes;Thomas;LFI-NFP;2228;2194;34;98.47;True
PA842037;Cernon;Bérenger;LFI-NFP;2727;2685;42;98.46;True
PA267306;Chassaigne;André;GDR;130;128;2;98.46;False
PA841191;Nosbé;Sandrine;LFI-NFP;2730;2688;42;98.46;True
PA719578;Prud'homme;Loïc;LFI-NFP;1107;1090;17;98.46;True
PA794082;Hignet;Mathilde;LFI-NFP;3233;3183;50;98.45;True
PA842029;Lejeune;Claire;LFI-NFP;3057;3009;48;98.43;True
PA794130;Kerbrat;Andy;LFI-NFP;1839;1810;29;98.42;True
PA841845;Saint-Martin;Arnaud;LFI-NFP;2456;2417;39;98.41;True
PA795310;Guetté;Clémence;LFI-NFP;2149;2114;35;98.37;True
PA722046;Bergé;Aurore;EPR;61;60;1;98.36;False
PA841947;Hamdane;Zahia;LFI-NFP;2318;2280;38;98.36;True
PA795228;Abomangoli;Nadège;LFI-NFP;2413;2373;40;98.34;True
PA721062;Ratenon;Jean-Hugues;LFI-NFP;1327;1305;22;98.34;True
PA794106;Taurinya;Andrée;LFI-NFP;2704;2659;45;98.34;True
PA840801;Fouquart;Emmanuel;RN;2218;2181;37;98.33;True
PA793872;Oziol;Nathalie;LFI-NFP;1017;1000;17;98.33;True
PA795588;Amrani;Farida;LFI-NFP;1724;1695;29;98.32;True
PA793912;Carrière;Sylvain;LFI-NFP;2982;2932;50;98.32;True
PA794570;Sabatou;Alexandre;RN;1784;1754;30;98.32;True
PA840773;Fayssat;Olivier;UDR;3692;3629;63;98.29;True
PA791824;Legrain;Sarah;LFI-NFP;3100;3047;53;98.29;True
PA841777;Sanvert;Arnaud;RN;817;803;14;98.29;False
PA795844;Erodi;Karen;LFI-NFP;2670;2624;46;98.28;True
PA794786;Fernandes;Emmanuel;LFI-NFP;3592;3530;62;98.27;True
PA794906;Amard;Gabriel;LFI-NFP;1899;1866;33;98.26;True
PA719436;Meizonnet;Nicolas;RN;1950;1916;34;98.26;True
PA794166;Tavel;Matthias;LFI-NFP;1991;1956;35;98.24;True
PA841023;Cadalen;Pierre-Yves;LFI-NFP;1863;1830;33;98.23;True
PA795108;Leboucher;Élise;LFI-NFP;2878;2827;51;98.23;True
PA841395;Michelet;Maxime;UDR;2134;2096;38;98.22;True
PA795616;Bilongo;Carlos Martens;LFI-NFP;1173;1152;21;98.21;True
PA841251;Feld;Mathilde;LFI-NFP;2731;2682;49;98.21;True
PA791812;Chikirou;Sophia;LFI-NFP;1217;1195;22;98.19;True
PA840143;Florquin;Guillaume;RN;2271;2230;41;98.19;True
PA794138;Amiot;Ségolène;LFI-NFP;3346;3285;61;98.18;True
PA841451;Guibert;Julien;RN;2849;2797;52;98.17;True
PA817211;Pilato;René;LFI-NFP;2571;2524;47;98.17;True
PA795672;Le Gall;Arnaud;LFI-NFP;2138;2098;40;98.13;True
PA335612;Lecoq;Jean-Paul;GDR;1283;1259;24;98.13;True
PA841215;Mesmeur;Marie;LFI-NFP;2309;2265;44;98.09;True
PA840685;Trébuchet;Vincent;UDR;1417;1390;27;98.09;True
PA720952;Taché;Aurélien;LFI-NFP;672;659;13;98.07;True
PA795136;Coulomme;Jean-François;LFI-NFP;3144;3082;62;98.03;True
PA795200;Dufour;Alma;LFI-NFP;1309;1283;26;98.01;True
PA796070;Gaillard;Perceval;LFI-NFP;2323;2276;47;97.98;True
PA841075;Josserand;Sylvie;RN;2378;2330;48;97.98;True
PA795164;Trouvé;Aurélie;LFI-NFP;1423;1394;29;97.96;True
PA794590;Loubet;Alexandre;RN;1743;1707;36;97.93;True
PA721960;Obono;Danièle;LFI-NFP;1458;1427;31;97.87;True
PA793298;Tivoli;Lionel;RN;2153;2107;46;97.86;True
PA841199;Perez;Thierry;RN;2085;2039;46;97.79;True
PA841495;Amblard;Maxime;RN;2330;2278;52;97.77;True
PA841761;Dutremble;Aurélien;RN;1762;1722;40;97.73;True
PA841575;Vos;Frédéric-Pierre;RN;1186;1159;27;97.72;True
PA840159;Clavet;Bruno;RN;1224;1196;28;97.71;True
PA793756;Piquemal;François;LFI-NFP;864;844;20;97.69;True
PA794710;Brugerolles;Julien;GDR;603;589;14;97.68;True
PA793322;D'Intorni;Christelle;UDR;773;755;18;97.67;True
PA794030;Jolly;Alexis;RN;1839;1796;43;97.66;True
PA794670;Parmentier;Caroline;RN;1711;1671;40;97.66;True
PA840781;Tonussi;Romain;RN;2097;2048;49;97.66;True
PA721896;Faucillon;Elsa;GDR;1001;977;24;97.6;True
PA795778;Tanguy;Jean-Philippe;RN;2616;2553;63;97.59;True
PA793246;Falcon;Frédéric;RN;1799;1755;44;97.55;True
PA793382;Taché;Emmanuel;RN;896;874;22;97.54;True
PA793772;Bex;Christophe;LFI-NFP;3122;3045;77;97.53;True
PA841973;Carbonnel;Pierre-Henri;UDR;1297;1265;32;97.53;True
PA796026;Lechanteux;Julie;RN;1418;1382;36;97.46;True
PA840075;Casterman;Eddy;RN;1886;1838;48;97.45;True
PA840757;Griseti;Monique;RN;2531;2466;65;97.43;True
PA841621;Evrard;Auguste;RN;1434;1397;37;97.42;True
PA795966;Rambaud;Stéphane;RN;2074;2019;55;97.35;True
PA793314;Masson;Alexandra;RN;636;619;17;97.33;True
PA794938;Boumertit;Idir;LFI-NFP;1845;1795;50;97.29;True
PA793696;Muller;Serge;RN;2729;2655;74;97.29;True
PA720822;Bilde;Bruno;RN;1323;1287;36;97.28;True
PA841183;Mansouri;Hanane;UDR;1137;1106;31;97.27;True
PA793134;Buisson;Jérôme;RN;1823;1772;51;97.2;True
PA840721;Chavent;Marc;UDR;1501;1459;42;97.2;True
PA795912;Lavalette;Laure;RN;704;684;20;97.16;True
PA793928;Diaz;Edwige;RN;3866;3756;110;97.15;True
PA793592;Grangier;Géraldine;RN;2180;2117;63;97.11;True
PA841487;Boulogne;Anthony;RN;2558;2483;75;97.07;True
PA794530;Marchio;Matthieu;RN;2038;1978;60;97.06;True
PA795820;Nadeau;Marcellin;GDR;440;427;13;97.05;True
PA794886;Blanc;Sophie;RN;1586;1539;47;97.04;True
