uid;nom;prenom;groupe_sigle;specialite_principale;top_5_themes;nb_themes_votes
PA793214;Abadie-Amiel;Audrey;LIOT;Sante;Sante(254) | Economie & Finance(154) | Securite sociale & Protection(110) | Outre-mer(7) | Institutions(3);10
PA795228;Abomangoli;Nadège;LFI-NFP;Immigration;Economie & Finance(1313) | Securite sociale & Protection(299) | Outre-mer(212) | Sante(209) | Institutions(148);16
PA794278;Albertini;Xavier;HOR;Immigration;Economie & Finance(184) | Securite sociale & Protection(117) | Securite & Justice(61) | Sante(44) | Outre-mer(15);15
PA793262;Alexandre;Laurent;LFI-NFP;Ecologie & Environnement;Economie & Finance(1469) | Securite sociale & Protection(405) | Sante(371) | Ecologie & Environnement(220) | Outre-mer(185);15
PA793992;Alfandari;Henri;HOR;Ecologie & Environnement;Economie & Finance(160) | Ecologie & Environnement(76) | Social & Travail(27) | Securite sociale & Protection(24) | Securite & Justice(23);14
PA841067;Allegret-Pilot;Alexandre;UDR;Securite & Justice;Economie & Finance(1362) | Sante(451) | Securite sociale & Protection(194) | Ecologie & Environnement(175) | Outre-mer(161);15
PA840665;Allemand;Marie-José;SOC;Institutions;Economie & Finance(1528) | Securite sociale & Protection(506) | Sante(405) | Institutions(206) | Outre-mer(98);16
PA793432;Allisio;Franck;RN;Transport;Economie & Finance(244) | Institutions(72) | Outre-mer(49) | Securite & Justice(34) | Securite sociale & Protection(32);14
PA841207;Alloncle;Charles;UDR;Outre-mer;Economie & Finance(702) | Securite sociale & Protection(92) | Outre-mer(84) | Sante(45) | Institutions(21);15
PA794906;Amard;Gabriel;LFI-NFP;Immigration;Economie & Finance(809) | Sante(458) | Securite sociale & Protection(273) | Culture(103) | Institutions(99);15
PA841495;Amblard;Maxime;RN;Ecologie & Environnement;Economie & Finance(1475) | Securite sociale & Protection(451) | Ecologie & Environnement(248) | Securite & Justice(106) | Outre-mer(104);15
PA795950;Amiel;David;EPR;Ecologie & Environnement;Economie & Finance(456) | Institutions(69) | Ecologie & Environnement(65) | Securite & Justice(23) | Education(14);14
PA794138;Amiot;Ségolène;LFI-NFP;Logement & Urbanisme;Economie & Finance(1674) | Sante(573) | Securite sociale & Protection(533) | Institutions(188) | Ecologie & Environnement(144);16
PA610968;Amirshahi;Pouria;EcoS;Defense;Economie & Finance(1553) | Securite sociale & Protection(343) | Sante(338) | Securite & Justice(175) | Institutions(132);15
PA795588;Amrani;Farida;LFI-NFP;Education;Economie & Finance(1069) | Securite sociale & Protection(329) | Institutions(151) | Outre-mer(91) | Ecologie & Environnement(85);16
PA721158;Anglade;Pieyre-Alexandre;EPR;Numerique & Technologies;Economie & Finance(710) | Securite sociale & Protection(339) | Sante(180) | Institutions(125) | Education(59);16
PA795084;Arenas;Rodrigo;LFI-NFP;Education;Economie & Finance(445) | Securite sociale & Protection(94) | Institutions(73) | Outre-mer(66) | Education(49);15
PA795144;Armand;Antoine;EPR;Ecologie & Environnement;Economie & Finance(346) | Ecologie & Environnement(201) | Securite sociale & Protection(64) | Culture(59) | Institutions(39);15
PA842105;Arnault;Raphaël;LFI-NFP;Defense;Economie & Finance(1012) | Sante(325) | Securite sociale & Protection(220) | Institutions(117) | Outre-mer(110);15
PA793780;Arrighi;Christine;EcoS;Ecologie & Environnement;Economie & Finance(1083) | Sante(141) | Ecologie & Environnement(111) | Institutions(107) | Securite & Justice(48);14
PA722190;Attal;Gabriel;EPR;Numerique & Technologies;Economie & Finance(939) | Securite sociale & Protection(246) | Sante(161) | Securite & Justice(94) | Outre-mer(93);16
PA588884;Autain;Clémentine;EcoS;Ecologie & Environnement;Economie & Finance(498) | Securite sociale & Protection(128) | Ecologie & Environnement(77) | Institutions(38) | Culture(31);14
PA796118;Auzanot;Bénédicte;RN;Ecologie & Environnement;Economie & Finance(733) | Sante(185) | Securite sociale & Protection(119) | Ecologie & Environnement(107) | Institutions(101);15
PA642764;Aviragnet;Joël;SOC;Education;Economie & Finance(422) | Securite sociale & Protection(265) | Sante(133) | Education(32) | Logement & Urbanisme(13);14
PA841701;Balage El Mariky;Léa;EcoS;Defense;Economie & Finance(906) | Sante(200) | Outre-mer(172) | Securite sociale & Protection(136) | Securite & Justice(129);15
PA719558;Balanant;Erwan;Dem;Institutions;Economie & Finance(789) | Securite sociale & Protection(211) | Institutions(110) | Sante(66) | Ecologie & Environnement(44);15
PA794562;Ballard;Philippe;RN;Defense;Economie & Finance(896) | Securite sociale & Protection(201) | Sante(171) | Ecologie & Environnement(101) | Institutions(86);15
PA842279;Bamana;Anchya;RN;Outre-mer;Economie & Finance(679) | Outre-mer(299) | Securite sociale & Protection(228) | Sante(224) | Securite & Justice(47);15
PA720256;Bannier;Géraldine;Dem;Culture;Economie & Finance(779) | Securite sociale & Protection(316) | Sante(195) | Culture(183) | Ecologie & Environnement(71);16
PA643143;Baptiste;Christian;SOC;Immigration;Economie & Finance(757) | Securite sociale & Protection(302) | Outre-mer(122) | Institutions(87) | Securite & Justice(64);14
PA368;Barnier;Michel;DR;Culture;Economie & Finance(269) | Securite sociale & Protection(54) | Securite & Justice(14) | Culture(13) | Sante(12);9
PA721836;Barrot;Jean-Noël;Dem;;;0
PA793238;Barthès;Christophe;RN;Agriculture;Economie & Finance(1285) | Securite sociale & Protection(293) | Sante(207) | Outre-mer(166) | Ecologie & Environnement(125);15
PA840829;Barusseau;Fabrice;SOC;Numerique & Technologies;Economie & Finance(1030) | Securite sociale & Protection(342) | Sante(315) | Ecologie & Environnement(99) | Culture(87);16
PA267561;Barèges;Brigitte;NI;Securite & Justice;Economie & Finance(111) | Securite & Justice(79) | Sante(53) | Outre-mer(20) | Securite sociale & Protection(18);13
PA267763;Bataille;Jean-Pierre;LIOT;Logement & Urbanisme;Economie & Finance(762) | Institutions(119) | Securite sociale & Protection(114) | Sante(41) | Logement & Urbanisme(34);15
PA335999;Batho;Delphine;EcoS;Securite sociale & Protection;Economie & Finance(581) | Securite sociale & Protection(294) | Institutions(41) | Sante(36) | Social & Travail(34);15
PA342415;Battistel;Marie-Noëlle;SOC;Institutions;Economie & Finance(1132) | Sante(458) | Securite sociale & Protection(355) | Institutions(209) | Ecologie & Environnement(145);15
PA793374;Baubry;Romain;RN;Social & Travail;Economie & Finance(495) | Sante(105) | Outre-mer(97) | Securite & Justice(83) | Institutions(80);15
PA606793;Baumel;Laurent;SOC;Economie & Finance;Economie & Finance(864) | Securite sociale & Protection(223) | Sante(135) | Outre-mer(55) | Securite & Justice(42);14
PA841745;Bay;Pascale;DR;Economie & Finance;Economie & Finance(67) | Securite sociale & Protection(10) | Sante(4) | Outre-mer(1) | Agriculture(1);6
PA642847;Bazin;Thibault;DR;Immigration;Economie & Finance(819) | Securite sociale & Protection(602) | Sante(578) | Outre-mer(82) | Institutions(76);14
PA718884;Bazin-Malgras;Valérie;DR;Defense;Economie & Finance(1394) | Securite sociale & Protection(423) | Sante(318) | Culture(106) | Institutions(84);15
PA793158;Beaurain;José;RN;Securite sociale & Protection;Economie & Finance(1051) | Securite sociale & Protection(390) | Sante(172) | Outre-mer(86) | Securite & Justice(84);15
PA642935;Becht;Olivier;EPR;Securite sociale & Protection;Economie & Finance(123) | Securite sociale & Protection(71) | Sante(22) | Securite & Justice(11) | Culture(7);13
PA720362;Belhaddad;Belkhir;SOC;Culture;Economie & Finance(859) | Culture(174) | Securite sociale & Protection(168) | Sante(117) | Ecologie & Environnement(97);16
PA795278;Bellamy;Béatrice;HOR;Culture;Economie & Finance(1217) | Securite sociale & Protection(382) | Culture(181) | Securite & Justice(146) | Institutions(96);15
PA842211;Bellay;Béatrice;SOC;Logement & Urbanisme;Economie & Finance(527) | Securite sociale & Protection(269) | Institutions(101) | Sante(44) | Outre-mer(39);15
PA795362;Belluco;Lisa;EcoS;Transport;Economie & Finance(1349) | Securite sociale & Protection(261) | Ecologie & Environnement(176) | Outre-mer(134) | Education(93);16
PA841657;Belouassa-Cherifi;Anaïs;LFI-NFP;Logement & Urbanisme;Economie & Finance(709) | Securite sociale & Protection(255) | Sante(253) | Outre-mer(101) | Social & Travail(92);14
PA795454;Ben Cheikh;Karim;EcoS;Defense;Economie & Finance(1609) | Securite sociale & Protection(239) | Sante(149) | Securite & Justice(149) | Culture(83);15
PA841315;Benbrahim;Karim;SOC;Immigration;Economie & Finance(1293) | Securite sociale & Protection(382) | Sante(155) | Ecologie & Environnement(142) | Institutions(104);15
PA332228;Benoit;Thierry;HOR;Defense;Economie & Finance(1084) | Securite sociale & Protection(354) | Institutions(162) | Sante(154) | Outre-mer(123);16
PA794434;Bentz;Christophe;RN;Numerique & Technologies;Economie & Finance(1919) | Sante(769) | Securite sociale & Protection(580) | Ecologie & Environnement(251) | Institutions(199);16
PA805166;Bergantz;Anne;Dem;Numerique & Technologies;Economie & Finance(1408) | Sante(472) | Securite sociale & Protection(457) | Outre-mer(244) | Securite & Justice(222);16
PA408578;Berger;Jean-Didier;DR;Defense;Economie & Finance(524) | Securite sociale & Protection(112) | Sante(85) | Outre-mer(65) | Securite & Justice(62);15
PA722046;Bergé;Aurore;EPR;Social & Travail;Economie & Finance(30) | Social & Travail(24) | Securite sociale & Protection(6) | Sante(4) | Outre-mer(2);8
PA720430;Bernalicis;Ugo;LFI-NFP;Immigration;Economie & Finance(495) | Securite & Justice(204) | Outre-mer(117) | Sante(108) | Ecologie & Environnement(79);15
PA841645;Bernhardt;Théo;RN;Transport;Economie & Finance(1529) | Sante(434) | Securite sociale & Protection(396) | Outre-mer(195) | Ecologie & Environnement(183);16
PA687214;Berrios;Sylvain;HOR;Transport;Economie & Finance(677) | Sante(144) | Securite sociale & Protection(106) | Institutions(86) | Outre-mer(56);15
PA719218;Berville;Hervé;EPR;Numerique & Technologies;Economie & Finance(599) | Ecologie & Environnement(248) | Institutions(139) | Securite sociale & Protection(137) | Logement & Urbanisme(51);16
PA309643;Besse;Véronique;NI;Institutions;Sante(137) | Economie & Finance(80) | Institutions(53) | Securite & Justice(25) | Outre-mer(19);12
PA793772;Bex;Christophe;LFI-NFP;Outre-mer;Economie & Finance(1584) | Sante(411) | Outre-mer(318) | Securite sociale & Protection(180) | Ecologie & Environnement(169);16
PA842001;Bigot;Guillaume;RN;Transport;Economie & Finance(656) | Securite sociale & Protection(230) | Institutions(91) | Sante(60) | Social & Travail(55);15
PA720822;Bilde;Bruno;RN;Institutions;Economie & Finance(713) | Securite sociale & Protection(164) | Institutions(155) | Sante(119) | Outre-mer(86);15
PA795616;Bilongo;Carlos Martens;LFI-NFP;Institutions;Economie & Finance(689) | Institutions(142) | Securite sociale & Protection(98) | Outre-mer(87) | Sante(62);15
PA840997;Biteau;Benoît;EcoS;Outre-mer;Economie & Finance(840) | Outre-mer(239) | Sante(141) | Ecologie & Environnement(115) | Securite sociale & Protection(106);15
PA720668;Blairy;Emmanuel;RN;Defense;Economie & Finance(766) | Securite sociale & Protection(224) | Sante(150) | Institutions(89) | Outre-mer(66);15
PA794886;Blanc;Sophie;RN;Ecologie & Environnement;Economie & Finance(797) | Securite sociale & Protection(204) | Ecologie & Environnement(150) | Sante(141) | Outre-mer(133);15
PA842183;Blanchard;Benoît;HOR;Numerique & Technologies;Economie & Finance(801) | Sante(201) | Securite sociale & Protection(175) | Culture(55) | Institutions(32);14
PA719024;Blanchet;Christophe;Dem;Institutions;Economie & Finance(728) | Sante(197) | Securite sociale & Protection(173) | Institutions(152) | Culture(73);15
PA774954;Blin;Anne-Laure;DR;Defense;Economie & Finance(845) | Sante(143) | Securite sociale & Protection(135) | Outre-mer(57) | Defense(41);14
PA840889;Bloch;Matthieu;UDR;Immigration;Economie & Finance(710) | Sante(357) | Securite sociale & Protection(180) | Outre-mer(98) | Institutions(81);15
PA796042;Boccaletti;Frédéric;RN;Immigration;Economie & Finance(1452) | Sante(260) | Ecologie & Environnement(202) | Outre-mer(178) | Securite sociale & Protection(154);15
PA720162;Bolo;Philippe;Dem;Ecologie & Environnement;Economie & Finance(852) | Securite sociale & Protection(180) | Ecologie & Environnement(143) | Institutions(61) | Social & Travail(24);15
PA793444;Bompard;Manuel;LFI-NFP;Defense;Economie & Finance(1246) | Securite sociale & Protection(233) | Sante(154) | Institutions(104) | Ecologie & Environnement(104);15
PA569;Bonnecarrère;Philippe;NI;Culture;Economie & Finance(1143) | Securite sociale & Protection(232) | Culture(150) | Sante(107) | Ecologie & Environnement(92);16
PA841885;Bonnet;Arnaud;EcoS;Defense;Economie & Finance(1372) | Sante(256) | Institutions(99) | Securite sociale & Protection(77) | Outre-mer(66);15
PA841507;Bonnet;Nicolas;EcoS;Immigration;Economie & Finance(1383) | Securite sociale & Protection(303) | Sante(271) | Ecologie & Environnement(170) | Outre-mer(102);16
PA719968;Bonnet;Sylvie;DR;Defense;Economie & Finance(476) | Sante(223) | Securite sociale & Protection(214) | Institutions(49) | Outre-mer(48);16
PA721410;Bonnivard;Émilie;DR;Culture;Economie & Finance(1330) | Securite sociale & Protection(347) | Sante(293) | Culture(146) | Outre-mer(93);16
PA266793;Bony;Jean-Yves;DR;Securite sociale & Protection;Economie & Finance(697) | Securite sociale & Protection(262) | Sante(113) | Ecologie & Environnement(51) | Institutions(42);14
PA793844;Bordes;Pascale;RN;Transport;Economie & Finance(1049) | Sante(234) | Securite sociale & Protection(208) | Outre-mer(160) | Securite & Justice(146);15
PA717161;Borne;Élisabeth;EPR;Social & Travail;Economie & Finance(225) | Securite sociale & Protection(80) | Sante(40) | Social & Travail(26) | Education(12);12
PA642695;Bothorel;Éric;EPR;Ecologie & Environnement;Economie & Finance(1032) | Securite sociale & Protection(423) | Sante(351) | Ecologie & Environnement(169) | Outre-mer(70);15
PA721816;Boucard;Ian;DR;Transport;Economie & Finance(754) | Securite sociale & Protection(161) | Outre-mer(95) | Transport(48) | Defense(46);15
PA606507;Boudié;Florent;EPR;Transport;Securite & Justice(151) | Economie & Finance(147) | Institutions(117) | Securite sociale & Protection(102) | Outre-mer(58);16
PA841487;Boulogne;Anthony;RN;Defense;Economie & Finance(1267) | Sante(211) | Outre-mer(167) | Securite & Justice(162) | Ecologie & Environnement(148);15
