uid;nom;prenom;groupe;theme;z_score;direction;taux_pour_depute;taux_pour_groupe;taux_contre_depute;taux_contre_groupe;nb_votes_theme
PA720952;Taché;Aurélien;LFI-NFP;Securite sociale & Protection;5.99;vote CONTRE plus que son groupe (56% vs 31%);0.4118;0.609;0.5588;0.3086;34
PA857021;Latrèche;Alim;EPR;Economie & Finance;5.97;vote POUR plus que son groupe (41% vs 28%);0.4091;0.2775;0.3182;0.6969;22
PA840159;Clavet;Bruno;RN;Sante;4.99;vote CONTRE plus que son groupe (55% vs 21%);0.3871;0.7084;0.5484;0.2142;31
PA840159;Clavet;Bruno;RN;Economie & Finance;2.38;vote POUR plus que son groupe (52% vs 45%);0.5173;0.4539;0.4222;0.4528;810
PA840159;Clavet;Bruno;RN;Agriculture;2.38;vote CONTRE plus que son groupe (29% vs 20%);0.7083;0.7633;0.2917;0.2007;24
PA795144;Armand;Antoine;EPR;Securite sociale & Protection;4.63;vote POUR plus que son groupe (48% vs 31%);0.4844;0.3108;0.3438;0.6559;64
PA795176;Metzdorf;Nicolas;EPR;Ecologie & Environnement;4.59;vote POUR plus que son groupe (81% vs 26%);0.8095;0.2592;0.1905;0.7311;21
PA795912;Lavalette;Laure;RN;Securite sociale & Protection;4.57;vote POUR plus que son groupe (70% vs 44%);0.7;0.44;0.15;0.4475;40
PA795912;Lavalette;Laure;RN;Outre-mer;2.51;vote CONTRE plus que son groupe (60% vs 32%);0.386;0.6529;0.5965;0.3184;57
PA795912;Lavalette;Laure;RN;Sante;2.11;vote POUR plus que son groupe (83% vs 71%);0.8293;0.7084;0.0732;0.2142;41
PA842117;Jeanbrun;Vincent;DR;Economie & Finance;4.2;vote POUR plus que son groupe (63% vs 34%);0.6333;0.3431;0.3;0.5902;30
PA842117;Jeanbrun;Vincent;DR;Securite & Justice;2.82;vote POUR plus que son groupe (65% vs 37%);0.65;0.3654;0.35;0.6112;20
PA793432;Allisio;Franck;RN;Securite sociale & Protection;4.06;vote POUR plus que son groupe (66% vs 44%);0.6562;0.44;0.1562;0.4475;32
PA793432;Allisio;Franck;RN;Institutions;3.45;vote CONTRE plus que son groupe (44% vs 24%);0.5;0.7036;0.4444;0.2443;72
PA794426;Le Hénanff;Anne;HOR;Securite sociale & Protection;4.0;vote POUR plus que son groupe (65% vs 33%);0.6538;0.3306;0.3077;0.5902;26
PA794426;Le Hénanff;Anne;HOR;Economie & Finance;2.21;vote POUR plus que son groupe (46% vs 29%);0.4609;0.29;0.5217;0.6542;115
PA840781;Tonussi;Romain;RN;Ecologie & Environnement;3.96;vote POUR plus que son groupe (82% vs 50%);0.8214;0.4962;0.1071;0.4672;28
PA720908;Moutchou;Naïma;HOR;Economie & Finance;3.87;vote POUR plus que son groupe (59% vs 29%);0.5897;0.29;0.359;0.6542;78
PA842001;Bigot;Guillaume;RN;Defense;3.85;vote POUR plus que son groupe (18% vs 8%);0.1818;0.0794;0.8182;0.9206;22
PA842001;Bigot;Guillaume;RN;Outre-mer;2.11;vote POUR plus que son groupe (88% vs 65%);0.875;0.6529;0.0833;0.3184;48
PA842001;Bigot;Guillaume;RN;Securite & Justice;2.02;vote CONTRE plus que son groupe (73% vs 53%);0.2727;0.4439;0.7273;0.5288;22
PA795334;Larrouquis;Benoît;EPR;Economie & Finance;3.82;vote POUR plus que son groupe (47% vs 28%);0.4713;0.2775;0.5172;0.6969;174
PA720992;William;Jiovanny;SOC;Economie & Finance;3.82;vote POUR plus que son groupe (59% vs 54%);0.5943;0.5416;0.2286;0.3771;175
PA720992;William;Jiovanny;SOC;Securite sociale & Protection;3.32;vote POUR plus que son groupe (65% vs 59%);0.6522;0.5937;0.2029;0.315;69
PA721764;Grégoire;Olivia;EPR;Sante;3.8;vote POUR plus que son groupe (55% vs 29%);0.5455;0.2924;0.0909;0.6812;22
PA841539;Gokel;Julien;SOC;Securite sociale & Protection;3.72;vote POUR plus que son groupe (75% vs 59%);0.75;0.5937;0.25;0.315;60
PA841539;Gokel;Julien;SOC;Economie & Finance;3.67;vote CONTRE plus que son groupe (52% vs 38%);0.4174;0.5416;0.5201;0.3771;448
PA607553;Potier;Dominique;SOC;Sante;3.62;vote POUR plus que son groupe (67% vs 31%);0.6677;0.3087;0.2485;0.6646;334
PA607553;Potier;Dominique;SOC;Agriculture;2.69;vote POUR plus que son groupe (69% vs 53%);0.6923;0.5267;0.3077;0.4637;26
PA607553;Potier;Dominique;SOC;Education;2.51;vote POUR plus que son groupe (62% vs 48%);0.625;0.4831;0.2812;0.4721;32
PA793382;Taché;Emmanuel;RN;Ecologie & Environnement;3.62;vote POUR plus que son groupe (79% vs 50%);0.7931;0.4962;0.1379;0.4672;29
PA793382;Taché;Emmanuel;RN;Securite & Justice;2.77;vote POUR plus que son groupe (69% vs 44%);0.6923;0.4439;0.2564;0.5288;39
PA793382;Taché;Emmanuel;RN;Agriculture;2.11;vote CONTRE plus que son groupe (28% vs 20%);0.6897;0.7633;0.2759;0.2007;29
PA842141;de Maistre;Élisabeth;DR;Defense;3.6;vote POUR plus que son groupe (15% vs 7%);0.1481;0.0693;0.8519;0.9307;27
PA609332;Faure;Olivier;SOC;Securite & Justice;3.58;vote CONTRE plus que son groupe (64% vs 37%);0.3636;0.5797;0.6364;0.3667;22
PA841777;Sanvert;Arnaud;RN;Securite sociale & Protection;3.53;vote POUR plus que son groupe (64% vs 44%);0.6406;0.44;0.2031;0.4475;64
PA841777;Sanvert;Arnaud;RN;Economie & Finance;2.64;vote POUR plus que son groupe (52% vs 45%);0.524;0.4539;0.4073;0.4528;437
PA841777;Sanvert;Arnaud;RN;Sante;2.07;vote CONTRE plus que son groupe (35% vs 21%);0.5294;0.7084;0.3529;0.2142;85
PA720230;Magnier;Lise;HOR;Securite & Justice;3.5;vote POUR plus que son groupe (64% vs 38%);0.6389;0.3809;0.2778;0.5918;36
PA794322;Ménagé;Thomas;RN;Sante;3.43;vote CONTRE plus que son groupe (44% vs 21%);0.4025;0.7084;0.4434;0.2142;318
PA719404;Le Gac;Didier;EPR;Securite & Justice;3.42;vote POUR plus que son groupe (73% vs 43%);0.7308;0.4259;0.2692;0.5704;26
PA795124;Padey;Didier;Dem;Economie & Finance;3.41;vote POUR plus que son groupe (49% vs 31%);0.4922;0.3133;0.5;0.6468;128
PA795124;Padey;Didier;Dem;Securite sociale & Protection;2.09;vote POUR plus que son groupe (48% vs 37%);0.4815;0.3666;0.5;0.5998;54
PA795326;Weissberg;Christopher;EPR;Securite sociale & Protection;3.37;vote POUR plus que son groupe (50% vs 31%);0.5;0.3108;0.5;0.6559;30
PA720846;Lachaud;Bastien;LFI-NFP;Defense;3.33;vote CONTRE plus que son groupe (14% vs 8%);0.8214;0.9151;0.1429;0.0813;28
PA720846;Lachaud;Bastien;LFI-NFP;Education;2.89;vote CONTRE plus que son groupe (70% vs 45%);0.25;0.5272;0.7;0.4454;20
PA610654;Nilor;Jean-Philippe;LFI-NFP;Ecologie & Environnement;3.33;vote CONTRE plus que son groupe (85% vs 55%);0.1;0.4136;0.85;0.5511;20
PA610654;Nilor;Jean-Philippe;LFI-NFP;Institutions;2.88;vote POUR plus que son groupe (81% vs 53%);0.8095;0.5308;0.1905;0.4576;21
PA610654;Nilor;Jean-Philippe;LFI-NFP;Economie & Finance;2.6;vote CONTRE plus que son groupe (52% vs 42%);0.4436;0.5147;0.5171;0.4239;381
PA793816;Thomin;Mélanie;SOC;Sante;3.31;vote POUR plus que son groupe (66% vs 31%);0.6562;0.3087;0.3438;0.6646;32
PA794146;Laernoes;Julie;EcoS;Securite sociale & Protection;3.3;vote POUR plus que son groupe (77% vs 66%);0.7679;0.6551;0.1607;0.264;56
PA794146;Laernoes;Julie;EcoS;Economie & Finance;2.44;vote CONTRE plus que son groupe (49% vs 40%);0.4736;0.5395;0.4874;0.4001;870
PA1327;Forissier;Nicolas;DR;Institutions;3.24;vote CONTRE plus que son groupe (70% vs 32%);0.3019;0.6348;0.6981;0.3226;53
PA1327;Forissier;Nicolas;DR;Agriculture;2.58;vote CONTRE plus que son groupe (42% vs 29%);0.375;0.6486;0.4167;0.2912;24
PA840915;Monnier;Thibaut;RN;Institutions;3.18;vote POUR plus que son groupe (91% vs 70%);0.9149;0.7036;0.0851;0.2443;47
PA840915;Monnier;Thibaut;RN;Economie & Finance;2.07;vote POUR plus que son groupe (50% vs 45%);0.4951;0.4539;0.3931;0.4528;921
PA840915;Monnier;Thibaut;RN;Logement & Urbanisme;2.04;vote CONTRE plus que son groupe (39% vs 28%);0.5278;0.6445;0.3889;0.2751;36
PA720092;Ramos;Richard;Dem;Securite sociale & Protection;3.18;vote POUR plus que son groupe (53% vs 37%);0.5286;0.3666;0.4;0.5998;70
PA720092;Ramos;Richard;Dem;Economie & Finance;2.22;vote POUR plus que son groupe (43% vs 31%);0.4275;0.3133;0.529;0.6468;138
PA794118;Vermorel-Marques;Antoine;DR;Defense;3.17;vote CONTRE plus que son groupe (100% vs 93%);0.0;0.0693;1.0;0.9307;20
PA841339;Brard;Jean-Michel;HOR;Sante;3.15;vote POUR plus que son groupe (73% vs 34%);0.7282;0.3429;0.2667;0.5891;195
PA794042;Dezarnaud;Sylvie;DR;Securite sociale & Protection;3.13;vote CONTRE plus que son groupe (76% vs 54%);0.1905;0.3734;0.7619;0.5358;21
PA794042;Dezarnaud;Sylvie;DR;Economie & Finance;2.45;vote CONTRE plus que son groupe (78% vs 59%);0.1781;0.3431;0.7842;0.5902;292
PA795386;Lefèvre;Mathieu;EPR;Education;3.1;vote POUR plus que son groupe (53% vs 28%);0.5263;0.2834;0.4474;0.7069;38
PA774958;Leseul;Gérard;SOC;Ecologie & Environnement;3.09;vote POUR plus que son groupe (70% vs 34%);0.7031;0.3426;0.2188;0.5665;64
PA793230;Ranc;Angélique;RN;Social & Travail;3.09;vote POUR plus que son groupe (63% vs 31%);0.6296;0.307;0.2963;0.6308;27
PA841709;Hoffman;Emmanuelle;EPR;Outre-mer;3.05;vote POUR plus que son groupe (62% vs 33%);0.625;0.33;0.2917;0.6457;24
PA841709;Hoffman;Emmanuelle;EPR;Securite sociale & Protection;2.01;vote CONTRE plus que son groupe (79% vs 66%);0.2083;0.3108;0.7917;0.6559;48
PA842255;Sicard;Anne;RN;Culture;3.05;vote CONTRE plus que son groupe (81% vs 47%);0.0476;0.37;0.8095;0.4653;21
PA795362;Belluco;Lisa;EcoS;Sante;3.04;vote POUR plus que son groupe (71% vs 34%);0.7059;0.3373;0.2794;0.64;68
PA795050;Panosyan-Bouvet;Astrid;EPR;Sante;3.04;vote POUR plus que son groupe (70% vs 29%);0.6972;0.2924;0.211;0.6812;109
PA795050;Panosyan-Bouvet;Astrid;EPR;Institutions;2.53;vote CONTRE plus que son groupe (87% vs 53%);0.1304;0.4567;0.8696;0.5273;23
PA795050;Panosyan-Bouvet;Astrid;EPR;Securite sociale & Protection;2.0;vote POUR plus que son groupe (40% vs 31%);0.3958;0.3108;0.5208;0.6559;48
PA719778;Jolivet;François;HOR;Institutions;3.02;vote CONTRE plus que son groupe (69% vs 37%);0.2778;0.4328;0.6944;0.3735;36
PA842073;Dussausaye;Gaëtan;RN;Sante;2.96;vote CONTRE plus que son groupe (36% vs 21%);0.3995;0.7084;0.3592;0.2142;373
PA793102;Girard;Christian;RN;Logement & Urbanisme;2.96;vote CONTRE plus que son groupe (44% vs 28%);0.52;0.6445;0.44;0.2751;25
PA793102;Girard;Christian;RN;Securite & Justice;2.12;vote CONTRE plus que son groupe (74% vs 53%);0.2375;0.4439;0.7375;0.5288;80
PA720976;Mathiasin;Max;LIOT;Securite sociale & Protection;2.95;vote POUR plus que son groupe (82% vs 51%);0.8214;0.5125;0.1071;0.4117;28
PA841207;Alloncle;Charles;UDR;Securite sociale & Protection;2.94;vote CONTRE plus que son groupe (65% vs 52%);0.1739;0.3466;0.6522;0.5156;92
PA841207;Alloncle;Charles;UDR;Sante;2.52;vote CONTRE plus que son groupe (27% vs 19%);0.7111;0.7572;0.2667;0.1923;45
PA840869;Joubert;Florence;RN;Education;2.92;vote CONTRE plus que son groupe (68% vs 41%);0.3182;0.563;0.6818;0.4066;22
PA794582;Pfeffer;Kévin;RN;Sante;2.92;vote CONTRE plus que son groupe (39% vs 21%);0.403;0.7084;0.393;0.2142;201
PA794582;Pfeffer;Kévin;RN;Institutions;2.03;vote CONTRE plus que son groupe (36% vs 24%);0.5748;0.7036;0.3622;0.2443;127
PA794178;Taite;Jean-Pierre;DR;Sante;2.92;vote CONTRE plus que son groupe (72% vs 32%);0.15;0.6031;0.725;0.3173;40
PA842097;Roy;Sophie-Laurence;RN;Outre-mer;2.91;vote CONTRE plus que son groupe (64% vs 32%);0.3571;0.6529;0.6429;0.3184;70
PA795762;Califer;Elie;SOC;Sante;2.9;vote POUR plus que son groupe (57% vs 31%);0.5726;0.3087;0.3306;0.6646;124
PA721234;Petit;Maud;Dem;Ecologie & Environnement;2.9;vote POUR plus que son groupe (50% vs 26%);0.5;0.2568;0.4231;0.7171;26
PA721234;Petit;Maud;Dem;Culture;2.07;vote POUR plus que son groupe (79% vs 42%);0.7857;0.4213;0.2143;0.5758;28
PA721234;Petit;Maud;Dem;Logement & Urbanisme;2.05;vote POUR plus que son groupe (76% vs 56%);0.76;0.5597;0.24;0.4244;25
PA794570;Sabatou;Alexandre;RN;Outre-mer;2.89;vote POUR plus que son groupe (96% vs 65%);0.96;0.6529;0.04;0.3184;25
PA719080;Marsaud;Sandra;EPR;Education;2.87;vote POUR plus que son groupe (52% vs 28%);0.5238;0.2834;0.4762;0.7069;21
